wKey_Prefix	wKey_suffix
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_12	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_12	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_12	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_13	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_13	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_13	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_13	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_14	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_14	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_14	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_14	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_15	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_15	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_15	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_15	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_16	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_16	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_16	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_16	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_17	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_17	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_17	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_17	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_18	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_18	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_18	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_18	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_19	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_19	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_19	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_19	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_20	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_20	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_20	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_20	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_21	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_21	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_21	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_21	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_22	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_22	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_22	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_22	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_23	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_23	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_23	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_23	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_24	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_24	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_24	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_24	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_25	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_25	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_25	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_25	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_26	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_26	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_26	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_26	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_27	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_27	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_27	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_27	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_28	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_28	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_28	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_28	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_29	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_29	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_29	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_29	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_30	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_30	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_30	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_30	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_31	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_31	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_31	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_31	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_32	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_32	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_32	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_32	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_33	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_33	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_33	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_33	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_34	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_34	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_34	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_34	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_35	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_35	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_35	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_35	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_36	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_36	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_36	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_36	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_37	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_37	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_37	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_37	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_38	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_38	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_38	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_38	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_39	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_39	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_39	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_39	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_40	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_40	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_40	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_40	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_41	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_41	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_41	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_41	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_42	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_42	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_42	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_42	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_43	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_43	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_43	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_43	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_44	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_44	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_44	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_44	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_45	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_45	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_45	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_45	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_46	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_46	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_46	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_46	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_47	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_47	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_47	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_47	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_48	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_48	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_48	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_48	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_49	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_49	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_49	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_49	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_50	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_50	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_50	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_50	TXT
BSET_NPI-IS_SOLE_PROPRIETOR	TXT
BSET_NPI-IS_ORGANIZATION_SUBPART	TXT
BSET_NPI-PARENT_ORGANIZATION_LBN	TXT
BSET_NPI-PARENT_ORGANIZATION_TIN	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_NAME_PREFIX_TEXT	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_NAME_SUFFIX_TEXT	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_CREDENTIAL_TEXT	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_1	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_2	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_3	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_4	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_5	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_6	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_7	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_8	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_9	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_10	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_11	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_12	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_13	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_14	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_GROUP_15	TXT
BSET_TAXONOMY-CODE	TXT
BSET_TAXONOMY-TYPE	TXT
BSET_TAXONOMY-CLASSIFICATION	TXT
BSET_TAXONOMY-SPECIALIZATION	TXT
BSET_TAXONOMY-DEFINITION	TXT
BSET_TAXONOMY-NOTES	TXT
